outcome,bin,coef,se,p,pct,p_fdr_bh,sig_fdr_05
property,30_35,-0.0021795638382191215,0.007460036856341771,0.7701602482432044,-0.2177190313685906,0.8145925702572354,False
property,ge35,-0.00455758429161468,0.01395243254200111,0.743931417913768,-0.4547214264399746,0.8145925702572354,False
property,lt15,-0.022655848677070822,0.010559940946717057,0.03191670825555768,-2.2401132169894367,0.06269353407341688,False
theft,15_20,-0.006770369925327785,0.005931610587848023,0.2537014289969888,-0.6747502606703537,0.35970511911097114,False
theft,25_30,0.007508575676529114,0.005167358780096143,0.14620208164622117,0.7536835717480095,0.2436701360770353,False
theft,30_35,0.005522204092493953,0.008751258263808273,0.5280285604795218,0.5537479566664505,0.6017035114574075,False
theft,ge35,-0.001769787597067085,0.02245432265198485,0.9371779961438768,-0.1768222446461909,0.9404460302355768,False
theft,lt15,-0.03774928715892567,0.015147771176248053,0.012700145252309792,-3.7045664353132612,0.03175036313077448,True
structure_burglary,15_20,0.009364987397262187,0.008228354132974578,0.25506362991505227,0.9408976102395439,0.35970511911097114,False
structure_burglary,25_30,0.014650177720266652,0.008566437444452084,0.0872319944455515,1.4758017554574954,0.14992999045329167,False
structure_burglary,30_35,-0.023351389698028635,0.017148555569021177,0.17328887006299953,-2.3080855869251238,0.28032023098426395,False
structure_burglary,ge35,0.002262294847085816,0.03028131293383131,0.9404460302355768,0.22648557668945024,0.9404460302355768,False
structure_burglary,lt15,-0.007385138504698824,0.025236812314338306,0.7698022506508001,-0.7357935376813729,0.8145925702572354,False
vehicle_burglary,15_20,0.013283495009237242,0.007602489188043658,0.08059293806798627,1.337211257800841,0.14461655069533116,False
vehicle_burglary,25_30,-0.014441677699013937,0.00720222350644971,0.04494494745064261,-1.4337896862095523,0.08524041757880496,False
vehicle_burglary,30_35,-0.0216123165984487,0.016249265114722015,0.1835021723075111,-2.1380443923449177,0.2883605564832317,False
vehicle_burglary,ge35,-0.03931013320235441,0.04604238692066971,0.3932261265549709,-3.8547515433865143,0.48172223394314545,False
vehicle_burglary,lt15,-0.029539078615176628,0.01695714150693209,0.08151114675555028,-2.9107064251573056,0.14461655069533116,False
motor_vehicle_theft,15_20,-0.0014943572174238723,0.006041214830848947,0.8046293310201575,-0.14932412216452917,0.8349927020020503,False
motor_vehicle_theft,25_30,0.007922662795276314,0.006533137877087096,0.22524884324567795,0.7954130134972814,0.3348293615814132,False
motor_vehicle_theft,30_35,-0.030912037582282843,0.013348975194688771,0.020575408679853236,-3.0439145757934827,0.045265899095677124,True
motor_vehicle_theft,ge35,-0.08777748049801093,0.038527420292842895,0.022708000590678016,-8.403532594884577,0.048036155095665035,True
motor_vehicle_theft,lt15,-0.015063219958682095,0.016181215236296287,0.3519012439868008,-1.4950337164468253,0.4608230576017629,False
vandalism,15_20,-0.019266502193803242,0.006744094848522552,0.0042794098018234935,-1.9082089369484634,0.011768376955014606,True
vandalism,25_30,0.0225120897432034,0.007024607288921993,0.0013518120667412572,2.27673990849131,0.004130536870598286,True
vandalism,30_35,0.04092259195499362,0.014723644359279269,0.005446289399318352,4.17714609321147,0.014264091283929015,True
vandalism,ge35,0.08048584537025844,0.021904576380956147,0.00023842306296414695,8.381350555479727,0.000771368733119299,True
vandalism,lt15,-0.01649091220218038,0.01966307343150311,0.4016521651026508,-1.6355681489253038,0.48172223394314545,False
arson,15_20,-0.0271134770649814,0.021165769976037863,0.20019157969270995,-2.674920638574718,0.3058482467527513,False
arson,25_30,0.018328746861264785,0.021912224930664796,0.4028949592979034,1.8497749297294197,0.48172223394314545,False
arson,30_35,0.050879287254012626,0.04811454124564048,0.29030089998116804,5.219587216377852,0.38942803656010344,False
